model,period,n,frauds,prevalence,average_precision,roc_auc,precision,recall,alert_rate,precision_at_daily_budget,recall_at_daily_budget,settled_fraud_value_capture,brier_score,seed,scenario
isolation_forest,pre_shift,957,15,0.01567398119122257,0.21447264724823667,0.9370134465675868,0.14285714285714285,0.6,0.06583072100313479,0.17647058823529413,0.6,0.6101654724025835,,44,no_excitation
isolation_forest,post_shift,4683,135,0.028827674567584883,0.16108071621378756,0.7768526662106257,0.11007462686567164,0.43703703703703706,0.1144565449498185,0.16593886462882096,0.2814814814814815,0.2594611161451948,,44,no_excitation
behaviour_rule,all_test,5640,150,0.026595744680851064,0.14326282176192473,0.7181918639951427,0.14733542319749215,0.31333333333333335,0.05656028368794326,0.15714285714285714,0.29333333333333333,0.539533839551007,,44,no_excitation
behaviour_rule,pre_shift,957,15,0.01567398119122257,0.8265570880990835,0.9958244869072894,0.29411764705882354,1.0,0.05329153605015674,0.29411764705882354,1.0,1.0,,44,no_excitation
behaviour_rule,post_shift,4683,135,0.028827674567584883,0.08216849984915561,0.677891788006124,0.11940298507462686,0.23703703703703705,0.05722827247490925,0.12663755458515283,0.21481481481481482,0.33622179749784886,,44,no_excitation
logistic,all_test,5625,87,0.015466666666666667,0.21426465499940556,0.7790936601038592,0.088,0.5057471264367817,0.08888888888888889,0.1392857142857143,0.4482758620689655,0.5858105513528227,0.024589994052513643,55,no_excitation
logistic,pre_shift,999,19,0.01901901901901902,0.7420154530160419,0.9860365198711063,0.2786885245901639,0.8947368421052632,0.06106106106106106,0.2962962962962963,0.8421052631578947,0.9596156677956118,0.012892900646281201,55,no_excitation
logistic,post_shift,4626,68,0.014699524427150886,0.08747240378950336,0.7117350231009473,0.06150341685649203,0.39705882352941174,0.09489840034587116,0.10176991150442478,0.3382352941176471,0.5059415772759004,0.027116020060474345,55,no_excitation
boosting,all_test,5625,87,0.015466666666666667,0.12931705489172698,0.7709389256256668,0.09900990099009901,0.45977011494252873,0.07182222222222222,0.125,0.40229885057471265,0.5156944932767976,0.01786988780855052,55,no_excitation
boosting,pre_shift,999,19,0.01901901901901902,0.5341798998229544,0.9494092373791622,0.21333333333333335,0.8421052631578947,0.07507507507507508,0.2777777777777778,0.7894736842105263,0.8121410690619938,0.015061704896987431,55,no_excitation
