scenario,model,period,metric,n_seeds,mean,standard_error,ci95_low,ci95_high
full,boosting_no_network,pre_shift,precision_at_daily_budget,5,0.30099727858348546,0.0647711541652468,0.12116372464337433,0.4808308325235966
full,boosting_no_network,pre_shift,recall_at_daily_budget,5,0.6781504702194358,0.0857760049176016,0.4399981012225389,0.9163028392163326
full,boosting_static,all_test,average_precision,5,0.1331344747186784,0.018263371329580693,0.08242722678625436,0.18384172265110243
full,boosting_static,all_test,precision_at_daily_budget,5,0.1442857142857143,0.016233311681947877,0.09921481552521996,0.18935661304620863
full,boosting_static,all_test,recall_at_daily_budget,5,0.29865144647753344,0.023363440264926164,0.23378413711339815,0.3635187558416687
full,boosting_static,post_shift,average_precision,5,0.08770017837727999,0.014584145925332172,0.047208097809401134,0.12819225894515884
full,boosting_static,post_shift,precision_at_daily_budget,5,0.10980271519539016,0.01771409919668733,0.06062049118775945,0.15898493920302087
full,boosting_static,post_shift,recall_at_daily_budget,5,0.2170026335302253,0.012422283519391432,0.18251284525743175,0.2514924218030189
full,boosting_static,pre_shift,average_precision,5,0.49765207564232233,0.05805080102170367,0.3364772132928021,0.6588269379918426
full,boosting_static,pre_shift,precision_at_daily_budget,5,0.2886257533316357,0.05272720082352625,0.1422315746943752,0.4350199319688962
full,boosting_static,pre_shift,recall_at_daily_budget,5,0.6687460815047022,0.051994534040141135,0.5243861119719122,0.8131060510374921
full,isolation_forest,all_test,average_precision,5,0.06131608368908785,0.010084319084414409,0.03331752532791277,0.08931464205026293
full,isolation_forest,all_test,precision_at_daily_budget,5,0.09642857142857142,0.01727626660349689,0.04846196558120037,0.14439517727594248
full,isolation_forest,all_test,recall_at_daily_budget,5,0.19690783951653518,0.02976014608084369,0.11428042760040542,0.27953525143266494
full,isolation_forest,post_shift,average_precision,5,0.044722286096812294,0.009167835394172257,0.01926829439140365,0.07017627780222094
full,isolation_forest,post_shift,precision_at_daily_budget,5,0.07014530053853639,0.021271432581399144,0.011086335667365874,0.12920426540970692
full,isolation_forest,post_shift,recall_at_daily_budget,5,0.13207709985367563,0.02307220520573719,0.06801838864408756,0.19613581106326372
full,isolation_forest,pre_shift,average_precision,5,0.2840049622291746,0.11750627094477742,-0.04224474856549837,0.6102546730238476
full,isolation_forest,pre_shift,precision_at_daily_budget,5,0.21189988332052706,0.06456288526179019,0.032644576557982946,0.3911551900830712
full,isolation_forest,pre_shift,recall_at_daily_budget,5,0.4827272727272727,0.12846768660678082,0.12604379307179198,0.8394107523827534
full,logistic,all_test,average_precision,5,0.16062737558423407,0.027976537396429458,0.08295205526953447,0.23830269589893366
full,logistic,all_test,precision_at_daily_budget,5,0.15071428571428572,0.022627191516367367,0.0878911305842945,0.21353744084427695
full,logistic,all_test,recall_at_daily_budget,5,0.30649879693357956,0.024896684887761842,0.23737451804130133,0.3756230758258578
full,logistic,post_shift,average_precision,5,0.08907305422104171,0.017038172802477682,0.04176750274208838,0.13637860569999505
full,logistic,post_shift,precision_at_daily_budget,5,0.11205965968345202,0.022026748122719507,0.050903602674702765,0.1732157166922013
full,logistic,post_shift,recall_at_daily_budget,5,0.21764136790635086,0.014512988967597734,0.17734685072547457,0.25793588508722715
full,logistic,pre_shift,average_precision,5,0.6268578787197272,0.09247488627061484,0.37010643337995597,0.8836093240594984
full,logistic,pre_shift,precision_at_daily_budget,5,0.3143549244813797,0.057746479980595164,0.1540249927968539,0.4746848561659055
full,logistic,pre_shift,recall_at_daily_budget,5,0.7351347962382445,0.08894360322249448,0.488187764432495,0.982081828043994
no_excitation,behaviour_rule,all_test,average_precision,5,0.14117172981573803,0.02049184063761854,0.0842772591809288,0.19806620045054724
no_excitation,behaviour_rule,all_test,precision_at_daily_budget,5,0.1157142857142857,0.015510036250434617,0.07265152148532616,0.15877704994324524
no_excitation,behaviour_rule,all_test,recall_at_daily_budget,5,0.33499187631160426,0.020580189848454975,0.27785210894282014,0.3921316436803884
no_excitation,behaviour_rule,post_shift,average_precision,5,0.06281211101458875,0.007375406608200003,0.042334699438408396,0.0832895225907691
no_excitation,behaviour_rule,post_shift,precision_at_daily_budget,5,0.08164958010344953,0.013761961496540135,0.04344024946846017,0.11985891073843888
no_excitation,behaviour_rule,post_shift,recall_at_daily_budget,5,0.23558633517208497,0.021519133160119813,0.17583964324157078,0.2953330271025991
no_excitation,behaviour_rule,pre_shift,average_precision,5,0.556730113101982,0.11241349036539708,0.24462022801877592,0.868839998185188
no_excitation,behaviour_rule,pre_shift,precision_at_daily_budget,5,0.254249594574672,0.055583727912453446,0.09992442528349466,0.40857476386584934
no_excitation,behaviour_rule,pre_shift,recall_at_daily_budget,5,0.720921052631579,0.1033892411233171,0.43386650018463085,1.0079756050785271
no_excitation,boosting,all_test,average_precision,5,0.1708754335481404,0.0350917890846314,0.07344500751148218,0.2683058595847986
no_excitation,boosting,all_test,precision_at_daily_budget,5,0.12357142857142858,0.012195265056402766,0.08971194459898943,0.15743091254386773
no_excitation,boosting,all_test,recall_at_daily_budget,5,0.36382040964794543,0.019704183656389457,0.3091128253832446,0.4185279939126463
no_excitation,boosting,post_shift,average_precision,5,0.08897679802961958,0.008560244498929184,0.06520974909127131,0.11274384696796785
no_excitation,boosting,post_shift,precision_at_daily_budget,5,0.09088374164225954,0.013037234890254627,0.05468657464589819,0.1270809086386209
no_excitation,boosting,post_shift,recall_at_daily_budget,5,0.27025083971231445,0.022812368711245444,0.20691355026600974,0.33358812915861913
no_excitation,boosting,pre_shift,average_precision,5,0.5457949629870325,0.11938539732313017,0.21432796095713397,0.8772619650169309
no_excitation,boosting,pre_shift,precision_at_daily_budget,5,0.2649108173858451,0.0607664185690156,0.09619619198950144,0.43362544278218873
no_excitation,boosting,pre_shift,recall_at_daily_budget,5,0.713311403508772,0.09220644765790045,0.4573052632413177,0.9693175437762263
